canonical,architecture,best_lr,best_bs,best_clip,success_rate
107,[],0.006,4,0.8,0.4
1632,[2],0.006,4,0.8,0.2
105,[3],0.006,16,0.6,0.4
111,[2],0.006,4,0.6,0.5
1633,[2],0.006,4,0.9,0.3
1020,[2],0.004,16,0.9,0.1
126,[2],0.004,4,0.9,0.8
15555,[3],0.005,8,0.8,0.8
1634,[2],0.005,16,0.9,0.2
1635,[2],0.005,16,0.8,0.2
1647,[2],0.006,4,0.6,0.5
1638,[2],0.006,16,0.8,0.6
1641,[3],0.006,4,0.9,0.6
1643,[3],0.004,4,0.6,0.5
1639,[2],0.006,4,0.6,0.7
1650,[3],0.004,8,0.8,0.5
1656,[2],0.006,4,0.9,0.4
1651,[2],0.004,8,0.8,0.2
1658,[3],0.006,4,0.6,0.5
1654,[2],0.006,4,0.9,0.5
1680,[3],0.006,4,0.8,0.6
1659,[3],0.006,4,0.9,0.7
1657,[3],0.005,16,0.9,0.5
1662,[2],0.005,4,0.8,0.5
1695,[3],0.005,8,0.6,0.8
1683,[3],0.005,4,0.8,0.6
1686,[3],0.006,16,0.8,0.8
1681,[3],0.005,4,0.8,0.8
1714,[3],0.005,4,0.9,0.3
1687,[3],0.005,8,0.8,0.6
1712,[3],0.006,16,0.6,0.2
1713,[3],0.006,4,0.9,0.6
1715,[3],0.004,8,0.8,0.3
1719,[3],0.005,4,0.6,0.3
1721,[3],0.006,4,0.9,0.6
1716,[3],0.005,4,0.9,0.6
1718,[3],0.006,8,0.9,0.8
1725,[3],0.006,8,0.9,0.5
1785,[3],0.006,4,0.6,0.2
1717,[3],0.005,4,0.9,0.5
1776,[3],0.004,8,0.8,0.5
1778,[3],0.005,8,0.8,0.4
1910,[3],0.004,16,0.6,0.1
1912,[2],0.005,8,0.9,0.2
1777,[2],0.006,16,0.8,0.1
1918,[2],0.004,4,0.8,0.1
1782,[3],0.005,8,0.8,0.6
1913,[3],0.005,4,0.9,0.6
1973,[2],0.005,4,0.8,0.1
1914,[2],0.005,4,0.9,0.5
1969,[2],0.006,4,0.8,0.2
1968,[2],0.006,8,0.6,0.7
1972,[3],0.004,4,0.8,0.7
2017,[2],0.005,16,0.9,0.3
1974,[3],0.004,4,0.9,0.4
2025,[2],0.004,4,0.6,0.2
1980,[3],0.005,8,0.9,0.5
2016,[2],0.006,8,0.8,0.8
2019,[2],0.004,4,0.9,0.5
2022,[3],0.006,8,0.8,0.5
2033,[2],0.004,16,0.6,0.4
22,[2],0.004,4,0.6,0.3
2032,[2],0.005,4,0.6,0.8
2018,[3],0.005,8,0.8,0.6
2040,[2],0.006,16,0.8,0.2
24,[2],0.006,4,0.8,0.4
2034,[2],0.006,8,0.8,0.3
25,[2],0.004,8,0.9,0.3
278,[3],0.006,4,0.9,0.3
27,[2],0.006,16,0.9,0.5
286,[2],0.006,4,0.8,0.2
280,[2],0.005,8,0.8,0.2
283,[2],0.006,8,0.6,0.4
27030,[5],0.004,8,0.6,0.5
281,[2],0.006,8,0.8,0.4
282,[2],0.006,8,0.8,0.2
301,[2],0.005,4,0.6,0.0
30,[2],0.006,8,0.8,0.5
303,[2],0.004,4,0.6,0.4
317,[2],0.005,4,0.9,0.3
318,[3],0.004,4,0.6,0.2
300,[3],0.005,4,0.8,0.9
316,[2],0.005,16,0.9,0.3
363,[3],0.006,16,0.6,0.6
366,[2],0.005,4,0.6,0.0
360,[3],0.004,16,0.9,0.7
367,[3],0.004,4,0.6,0.7
382,[2],0.005,8,0.9,0.0
361,[3],0.006,8,0.8,0.7
362,[3],0.004,16,0.9,0.8
386,[2],0.006,4,0.6,0.2
384,[2],0.005,16,0.8,0.9
387,[2],0.004,4,0.6,0.3
391,[2],0.004,4,0.6,0.2
385,[2],0.005,4,0.9,0.5
393,[2],0.006,16,0.8,0.7
395,[2],0.006,16,0.9,0.4
390,[3],0.006,16,0.8,0.5
399,[2],0.006,4,0.6,0.7
406,[3],0.006,8,0.6,0.3
407,[3],0.006,4,0.8,0.5
409,[2],0.005,16,0.9,0.4
411,[2],0.004,16,0.8,0.4
415,[2],0.005,8,0.9,0.3
408,[3],0.006,4,0.9,0.6
4080,[2],0.006,16,0.9,0.9
410,[3],0.004,8,0.8,0.6
414,[3],0.006,16,0.9,0.2
426,[3],0.004,4,0.8,0.4
424,[2],0.004,4,0.6,0.4
430,[2],0.005,4,0.6,0.1
427,[2],0.005,16,0.9,0.6
425,[3],0.004,4,0.6,0.8
429,[2],0.005,4,0.9,0.4
428,[3],0.004,4,0.6,0.4
431,[2],0.005,4,0.6,0.8
446,[3],0.005,8,0.6,0.1
444,[3],0.006,8,0.9,0.6
445,[2],0.006,16,0.9,0.5
447,[2],0.006,4,0.6,0.7
489,[2],0.004,4,0.6,0.2
488,[2],0.004,4,0.6,0.2
490,[2],0.004,4,0.6,0.2
491,[2],0.005,8,0.6,0.2
494,[3],0.006,16,0.9,0.6
5736,[2],0.004,16,0.6,0.2
510,[3],0.004,4,0.8,0.1
495,[3],0.004,8,0.8,0.7
5739,[3],0.006,4,0.9,0.5
5737,[3],0.006,4,0.8,0.2
5742,[3],0.005,4,0.6,0.5
5758,[2],0.005,4,0.9,0.5
5738,[3],0.005,8,0.8,0.6
5763,[3],0.004,4,0.6,0.6
5761,[3],0.004,8,0.8,0.7
5766,[3],0.006,4,0.9,0.6
5767,[3],0.006,4,0.9,0.7
5769,[3],0.006,8,0.8,0.6
5774,[3],0.005,8,0.8,0.3
5783,[3],0.005,4,0.6,0.7
5771,[3],0.005,8,0.8,0.7
5782,[3],0.004,16,0.9,0.8
5784,[3],0.006,4,0.6,0.4
5790,[3],0.006,16,0.9,0.4
5786,[3],0.006,8,0.8,0.6
6,[2],0.006,8,0.6,0.3
5785,[3],0.005,16,0.8,0.9
5820,[3],0.006,4,0.9,0.5
5787,[3],0.004,16,0.9,0.7
5804,[3],0.006,8,0.8,0.4
6014,[2],0.004,4,0.6,0.0
60,[2],0.004,8,0.6,0.6
5805,[3],0.005,8,0.8,0.5
5865,[3],0.005,16,0.9,0.3
6030,[2],0.006,4,0.8,0.3
5801,[3],0.005,8,0.8,0.5
61,[2],0.006,16,0.9,0.7
6038,[3],0.004,8,0.8,0.3
6040,[3],0.006,8,0.8,0.4
6625,[3],0.006,16,0.6,0.3
6060,[3],0.006,16,0.8,0.5
6375,[3],0.004,4,0.9,0.6
6627,[3],0.006,4,0.8,0.3
6042,[3],0.005,4,0.6,0.5
6120,[2],0.004,16,0.9,0.8
854,[2],0.005,16,0.6,0.0
6630,[3],0.005,4,0.8,0.7
828,[2],0.004,4,0.8,0.2
7128,[3],0.005,4,0.8,0.4
829,[3],0.004,4,0.9,0.5
7140,[3],0.006,8,0.8,0.5
7905,[3],0.006,8,0.9,0.8
855,[2],0.006,4,0.6,0.8
859,[2],0.006,16,0.8,0.4
862,[3],0.004,16,0.8,0.1
858,[2],0.006,4,0.9,0.2
863,[2],0.005,8,0.6,0.7
857,[3],0.006,8,0.9,0.5
856,[3],0.006,4,0.8,0.6
873,[3],0.004,4,0.8,0.4
872,[3],0.006,4,0.9,0.5
879,[3],0.004,4,0.6,0.7
874,[3],0.004,4,0.6,0.4
878,[2],0.006,4,0.8,0.3
875,[3],0.006,4,0.8,0.7
876,[2],0.004,8,0.9,0.2
893,[3],0.006,8,0.8,0.3
877,[3],0.004,4,0.8,0.3
892,[2],0.006,4,0.9,0.2
894,[2],0.004,4,0.8,0.0
961,[2],0.006,16,0.6,0.6
965,[2],0.004,16,0.6,0.2
966,[2],0.006,4,0.9,0.3
960,[2],0.004,4,0.9,0.8
963,[2],0.004,4,0.9,0.6
980,[2],0.006,4,0.8,0.4
967,[2],0.005,4,0.8,0.4
975,[2],0.005,4,0.8,0.9
981,[2],0.004,16,0.9,0.2
982,[2],0.005,16,0.8,0.1
989,[2],0.006,16,0.6,0.0
983,[2],0.006,4,0.8,0.5
988,[2],0.006,8,0.8,0.2
984,[3],0.006,4,0.9,0.6
985,[3],0.006,16,0.9,0.7
990,[2],0.006,16,0.8,0.1
987,[2],0.006,8,0.9,0.5
